Time,Event context,Component,Event name,Description,Origin,IP address
"19/02/18, 10:06","Course: Technology Use in Education (SVHI.06.010), AÜ",Logs,Log report viewed,The user with id '79398' viewed the log report for the course with id '4880'.,web,2001:bb8:2002:1f00:791f:93b4:706e:e317
"19/02/18, 10:05","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,2001:bb8:2002:1f00:791f:93b4:706e:e317
"31/01/18, 10:20","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,2001:bb8:2002:1f00:791f:93b4:706e:e317
"22/01/18, 13:38","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,2001:bb8:2002:1f00:3cae:9b0c:84ba:45b1
"24/11/17, 09:10",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79702' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:10",Assignment: Submit independent assignment,Assignment,The submission has been graded.,The user with id '79398' has graded the submission '500028' for the user with id '79702' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:10","Course: Technology Use in Education (SVHI.06.010), AÜ",System,User graded,The user with id '79398' updated the grade with id '6966597' for the user with id '79702' for the grade item with id '68535'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79702' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79716' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,The submission has been graded.,The user with id '79398' has graded the submission '500027' for the user with id '79716' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:08","Course: Technology Use in Education (SVHI.06.010), AÜ",System,User graded,The user with id '79398' updated the grade with id '6970394' for the user with id '79716' for the grade item with id '68535'.,web,90.191.83.102
"24/11/17, 09:08",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79716' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:07",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79716' for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:07",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:06",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:06",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,90.191.83.102
"24/11/17, 09:05","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"20/11/17, 18:34","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,193.242.192.25
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79719' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,The submission has been graded.,The user with id '79398' has graded the submission '497008' for the user with id '79719' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42","Course: Technology Use in Education (SVHI.06.010), AÜ",System,User graded,The user with id '79398' updated the grade with id '6974917' for the user with id '79719' for the grade item with id '68535'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79719' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79684' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,The submission has been graded.,The user with id '79398' has graded the submission '497006' for the user with id '79684' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42","Course: Technology Use in Education (SVHI.06.010), AÜ",System,User graded,The user with id '79398' updated the grade with id '6965533' for the user with id '79684' for the grade item with id '68535'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79684' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:42",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79665' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,The submission has been graded.,The user with id '79398' has graded the submission '497004' for the user with id '79665' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41","Course: Technology Use in Education (SVHI.06.010), AÜ",System,User graded,The user with id '79398' updated the grade with id '6969534' for the user with id '79665' for the grade item with id '68535'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79665' for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,109.26.215.68
"19/11/17, 18:41","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,109.26.215.68
"17/11/17, 17:15",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:15",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79722' for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,The submission has been graded.,The user with id '79398' has graded the submission '496079' for the user with id '79722' for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14","Course: Technology Use in Education (SVHI.06.010), AÜ",System,User graded,The user with id '79398' updated the grade with id '6940313' for the user with id '79722' for the grade item with id '68535'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79722' for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,Grading table viewed,The user with id '79398' viewed the grading table for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,The status of the submission has been viewed.,The user with id '79398' has viewed the submission status page for the assignment with course module id '316791'.,web,194.204.33.9
"17/11/17, 17:14",Assignment: Submit independent assignment,Assignment,Grading form viewed,The user with id '79398' viewed the grading form for the user with id '79686' for the assignment with course module id '316791'.,web,194.204.33.9
