"","Time","User.full.name","Event.context","Component","Event.name","Description","Origin","IP.address"
"1","25/01/18, 19:04","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","193.40.10.90"
"2","25/01/18, 19:04","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"3","14/01/18, 14:50","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87d7:b380:bd94:6b0d:7f4f:ccaf"
"4","14/01/18, 14:45","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87d7:b380:bd94:6b0d:7f4f:ccaf"
"5","29/12/17, 14:33","1218","Course: Technology Use in Education (SVHI.06.010), Aš","Overview report","Grade overview report viewed","The user with id '79710' viewed the overview report in the gradebook.","web","193.40.10.90"
"6","29/12/17, 14:33","1218","Course: Technology Use in Education (SVHI.06.010), Aš","User report","Grade user report viewed","The user with id '79710' viewed the user report in the gradebook.","web","193.40.10.90"
"7","14/12/17, 18:23","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"8","14/12/17, 18:23","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.10.90"
"9","14/12/17, 18:12","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"10","14/12/17, 18:12","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.10.90"
"11","14/12/17, 18:12","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"12","3/12/17, 20:00","1218","Course: Technology Use in Education (SVHI.06.010), Aš","Overview report","Grade overview report viewed","The user with id '79710' viewed the overview report in the gradebook.","web","2001:7d0:87c4:a080:b17f:933b:d7ba:6757"
"13","3/12/17, 20:00","1218","Course: Technology Use in Education (SVHI.06.010), Aš","User report","Grade user report viewed","The user with id '79710' viewed the user report in the gradebook.","web","2001:7d0:87c4:a080:b17f:933b:d7ba:6757"
"14","3/12/17, 20:00","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:b17f:933b:d7ba:6757"
"15","18/11/17, 20:56","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:8838:3da8:2661:e672"
"16","18/11/17, 20:53","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:8838:3da8:2661:e672"
"17","18/11/17, 20:52","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","2001:7d0:87c4:a080:8838:3da8:2661:e672"
"18","18/11/17, 17:29","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:8838:3da8:2661:e672"
"19","17/11/17, 16:26","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:7d6a:b925:c05d:537a"
"20","16/11/17, 14:01","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:f1ac:a9f9:f9b0:badd"
"21","15/11/17, 21:14","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","193.40.10.90"
"22","15/11/17, 21:14","1218","Assignment: Submit independent assignment","Assignment","A submission has been submitted.","The user with id '79710' has submitted the submission with id '577726' for the assignment with course module id '316791'.","web","193.40.10.90"
"23","15/11/17, 21:14","1218","Assignment: Submit independent assignment","Online text submissions","Submission created.","The user with id '79710' created an online text submission with '10' words in the assignment with course module id '316791'.","web","193.40.10.90"
"24","15/11/17, 21:14","1218","Assignment: Submit independent assignment","Online text submissions","An online text has been uploaded.","The user with id '79710' has saved an online text submission with id '577726' in the assignment activity with course module id '316791'.","web","193.40.10.90"
"25","15/11/17, 21:14","1218","Assignment: Submit independent assignment","File submissions","Submission created.","The user with id '79710' created a file submission and uploaded '1' file/s in the assignment with course module id '316791'.","web","193.40.10.90"
"26","15/11/17, 21:14","1218","Assignment: Submit independent assignment","File submissions","A file has been uploaded.","The user with id '79710' has uploaded a file to the submission with id '577726' in the assignment activity with course module id '316791'.","web","193.40.10.90"
"27","15/11/17, 21:01","1218","Assignment: Submit independent assignment","Assignment","Submission form viewed.","The user with id '79710' viewed their submission for the assignment with course module id '316791'.","web","193.40.10.90"
"28","15/11/17, 21:01","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","193.40.10.90"
"29","15/11/17, 21:01","1218","Course: Technology Use in Education (SVHI.06.010), Aš","Assignment","Course module instance list viewed","The user with id '79710' viewed the instance list for the module 'assign' in the course with id '4880'.","web","193.40.10.90"
"30","15/11/17, 20:24","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","193.40.10.90"
"31","15/11/17, 20:24","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"32","15/11/17, 19:20","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","193.40.10.90"
"33","15/11/17, 13:44","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","90.191.97.158"
"34","15/11/17, 13:44","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","2001:7d0:87c4:a080:a9c5:a315:4dd2:eab9"
"35","15/11/17, 13:44","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:a9c5:a315:4dd2:eab9"
"36","15/11/17, 13:44","1218","Forum: Discussions on independent assignment","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '316785'.","web","2001:7d0:87c4:a080:a9c5:a315:4dd2:eab9"
"37","15/11/17, 13:43","1218","URL: Slides on the assignment","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '316788'.","web","2001:7d0:87c4:a080:a9c5:a315:4dd2:eab9"
"38","15/11/17, 13:21","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:a9c5:a315:4dd2:eab9"
"39","15/11/17, 13:21","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","2001:7d0:87c4:a080:a9c5:a315:4dd2:eab9"
"40","14/11/17, 14:31","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","2001:7d0:87c4:a080:a464:da6:8a2a:ea85"
"41","14/11/17, 14:00","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:a464:da6:8a2a:ea85"
"42","13/11/17, 22:25","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","2001:7d0:87c4:a080:a5d1:4d2f:4043:91c3"
"43","13/11/17, 22:25","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:a5d1:4d2f:4043:91c3"
"44","13/11/17, 15:45","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"45","13/11/17, 15:19","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"46","13/11/17, 15:19","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
