Row,Sample,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),First Attempt,Incorrects,Hints,Corrects,Condition,KC,Opportunity
1,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,RECTANGLE_ABCD,1,(AREA QUESTION1),02/01/1996 00:00,02/01/1996 00:00,02/01/1996 00:00,02/01/1996 00:00,0,0,.,correct,0,0,1,.,Non-area formula,1
2,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,RECTANGLE_ABCD,1,(HEIGHT QUESTION2),02/01/1996 00:00,02/01/1996 00:02,02/01/1996 00:02,02/01/1996 00:02,128,128,.,correct,0,0,1,.,Non-area formula,2
3,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,RECTANGLE_ABCD,1,(BASE QUESTION3),02/01/1996 00:02,02/01/1996 00:03,02/01/1996 00:03,02/01/1996 00:03,29,29,.,correct,0,0,1,.,Non-area formula,3
4,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(POOL-AREA QUESTION1),02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,0,0,.,correct,0,0,1,.,Non-area formula,4
5,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(LARGE-RECTANGLE-AREA QUESTION1),02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,12,12,.,correct,0,0,1,.,Non-area formula,5
6,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(SIDEWALK-AREA QUESTION1),02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,6,6,.,correct,0,0,1,.,Area formula,1
7,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(POOL-AREA QUESTION2),02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,9,9,.,correct,0,0,1,.,Non-area formula,6
8,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(LARGE-RECTANGLE-AREA QUESTION2),02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,10,10,.,correct,0,0,1,.,Non-area formula,7
9,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(SIDEWALK-AREA QUESTION2),02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,02/01/1996 00:04,7,7,.,correct,0,0,1,.,Area formula,2
10,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(POOL-AREA QUESTION3),02/01/1996 00:04,02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,13,13,.,correct,0,0,1,.,Non-area formula,8
11,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(LARGE-RECTANGLE-AREA QUESTION3),02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,6,6,.,correct,0,0,1,.,Non-area formula,9
12,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,BUILDING_A_SIDEWALK,1,(SIDEWALK-AREA QUESTION3),02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,4,4,.,correct,0,0,1,.,Area formula,3
13,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PARALLELOGRAM_ABDE,1,(AREA QUESTION1),02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,02/01/1996 00:05,0,0,.,correct,0,0,1,.,Non-area formula,10
14,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PARALLELOGRAM_ABDE,1,(HEIGHT QUESTION2),02/01/1996 00:05,02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,41,.,41,incorrect,1,0,1,.,Non-area formula,11
